loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,policy_code,loan_status,Partition
4800,4800, 36 months,13.55%,163.01,D,D4,Ixtlan Corporation,1 year,RENT,36400,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=347401,"I've incurred credit card debt while establishing myself in my career.  And now that I've been successfully working in that career for over a year and a half, I've decided to refinance those high credit card interest rates and consolidate the payments into one loan.  My job and paycheck are steady, and I do not anticipate leaving the job in the next 3 years.",credit_card,Paying Off Credit Cards For Better Rate,900xx,CA,4.65,1,9/1/02,1,7,,4,0,4684,80.8,9,f,1,0,H
1000,1000, 36 months,13.06%,33.73,C,C2,Bank of America,2 years,RENT,38000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=665402,  Borrower added on 01/31/11 > In need of this loan to finish our baby's room.<br/>,home_improvement,Baby Room,281xx,NC,18.79,0,10/1/01,1,,,8,0,11503,78.8,15,f,1,1,H
10000,10000, 36 months,9.99%,322.63,B,B1,icon parking systems,4 years,RENT,38004,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=856570,"  Borrower added on 08/20/11 > i have no problem paying my credit cards, because i care a lot about my credit, i just want to make one payment and one due date instead of many. i work in parking lot, i can pay them just from tips :)<br/>",debt_consolidation,debt consolidation,114xx,NY,22.45,0,5/1/06,1,,,13,0,11815,42.5,26,f,1,0,H
3600,3600, 36 months,13.98%,123.01,C,C3,US department of Defense,2 years,RENT,55000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=565238,"  Borrower added on 08/20/10 > I need this money as soon as possible to eleviate some of the debt associated with student loans, credit cards, and personal bills. My room mate moved out and left me overwhelmed. As a government employee I have a secure job and I am scheduled or my next promotion in November which will give me some extra cash in my pocket.<br/>",debt_consolidation,Quick Fix,070xx,NJ,16.73,0,2/1/05,1,,,14,0,10633,40.7,21,f,1,1,H
24000,18225, 60 months,11.86%,404.12,B,B5,John W Stone Oil,10+ years,RENT,100000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=529665,,debt_consolidation,Consolidate Debt,707xx,LA,18.2,0,10/1/90,0,,,7,0,10363,39,36,f,1,0,H
1600,1600, 36 months,7.68%,49.91,A,A2,Restaurant Associates,2 years,RENT,23000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=388121,I am looking to purchase a used motorcycle to commute to work ,major_purchase,Motorcycle,191xx,PA,4.64,0,4/1/75,0,,,7,0,2753,9.3,9,f,1,0,H
16750,11600, 60 months,11.49%,255.06,B,B4,wdw,7 years,RENT,39000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=565941,,debt_consolidation,life saver,328xx,FL,22.71,0,8/1/04,1,,,7,0,4075,26,11,f,1,1,H
15000,15000, 60 months,11.86%,332.61,B,B5,Unum,10+ years,MORTGAGE,74000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=525293,,debt_consolidation,dg,015xx,MA,16.38,0,12/1/81,0,,,6,0,42971,82.2,19,f,1,0,H
14250,14250, 36 months,11.89%,472.59,B,B4,Legion Design/ Campbell & Associates,3 years,MORTGAGE,87950,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=399592,"I am currently a  Design Engineer with a  B.S in Engineering  and a Masters Degree in Civil and Infrastructure Engineering.  I am starting a firm that will concentrate on contracts with Federal and Local Government Design Contracts. I need some working capital, as well as some funds to pay off some debt I have accumulated on a personal credit card.",small_business,Start Federal Contracting Firm,220xx,VA,12.2,0,12/1/95,3,,,9,0,39,0.3,25,f,1,0,H
5000,5000, 36 months,10.25%,161.93,B,B2,City of Milbank,3 years,RENT,39000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=499489,  Borrower added on 03/29/10 > I am getting this loan to consolidate my bills so I have one monthly payment. I am a Police Officer and will pay as agreed.<br/>,other,Mine,572xx,SD,17.14,0,5/1/00,0,,,8,0,4028,57.5,16,f,1,0,H
25000,25000, 36 months,15.70%,875.27,D,D4,CSG Systems Inc,5 years,MORTGAGE,68902.67,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=492720,"  Borrower added on 03/09/10 > I plan to use these funds to consolidate a number of credit card debts.  The intrest rate on these is 25-30%, and I would like to obtain a lower intrest rate, as well as establish a non-revolving debt so that I can pay the debts off completely within the next five years. The repayment amount for this loan, if fully funded, will be about the same as what I am currently paying to the six credit cards I want to pay off.  I have been able to stay on top of these payments, and consoledating these into a single payment will be much simpler for me to manage.<br/><br/>	 Monthly Payment 	Balance		Intrest	 	Min PMT Payoff	 Intrest Over Time <br/>ANB Citi	$50.00 	 	$5,314.85 	18.99%		21 years	 $7,421.00 <br/>MBNA	 	$300.00 	$6,088.05 	25.24%		26 years	 $12,220.00 <br/>Sears	 	$75.00 	 	$1,869.89 	29.99%		18 years	 $3,857.00 <br/>Citi	 	$250.00 	$6,978.15 	29.99%		25 years	 $16,340.00 <br/>Chase Card	$50.00 	 	$2,881.82 	29.99%		24 years	 $1,624.00 <br/>Capitol One	$50.00 	 	$1,070.25 	25.90%		11 years	 $1,685.00 <br/><br/>Total 	 	$775.00 	$24,203.01 			<br/><br/><br/>I work for a software firm that provides customer interaction solutions to cable and satellite companies.  I work on the account of one of the top two clients for my company. My company has reported a profit every quarter for the last year, even through the econmoic downturn, becasue our solutions find ways for our clients to save money while providing a better customer experience for their customers.  I have been employed here for 5 and a half years, with over 10 years in the industry.<br/>",debt_consolidation,Debt Consolidation Loan,800xx,CO,22.62,0,10/1/86,0,,,12,0,31174,82.9,22,f,1,0,H
16000,11500, 60 months,17.19%,286.99,E,E3,Weld Cty School District RE3J/Spouse too,10+ years,MORTGAGE,118527,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=518434,"  Borrower added on 05/16/10 > My wife and I have been teachers for over 20 years, 15 in the district we teach at now.  We are very secure in our jobs, with both of us having tenure.  Both my sona nd my wife have been in the hospital recently for surgery and sickness.  We are looking to clear the medicall bills all into one loan.<br/> Borrower added on 05/26/10 > We bring home $8,000 a month.  The issue for us is all the different bills and the high interest rates we are paying.  The MIRACLE for us would be to consolidate these payments into one so we would have a little money left at the end of each month.  We thank you all in advance for your help.<br/>",debt_consolidation,Miracle Loan,806xx,CO,4.38,1,1/1/91,2,13,,6,0,1944,28.2,35,f,1,1,H
10000,10000, 36 months,11.36%,329.12,B,B5,JCG,2 years,MORTGAGE,130000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=465730,"  Borrower added on 02/18/10 > I have an excellent job, a solid credit history, and am using this loan to consolidate and lower the interest rate on some loans I took during graduate school (these were not federal student loans, they were personal loans will fairly high interest rates).<br/>",debt_consolidation,Proven Borrower - Consolidating School Debt,802xx,CO,20.19,0,2/1/00,0,67,,11,0,10288,64.3,34,f,1,0,H
12800,12800, 60 months,11.49%,281.45,B,B4,Walgreen Co.,10+ years,MORTGAGE,78000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=564338,  Borrower added on 08/13/10 > I am combining all credit card debt into one loan with a smaller interest rate to get out of debt and rid of my credit cards.<br/> Borrower added on 08/19/10 > I have additional income potential from an annual bonus up to 10% of my salary.<br/>,credit_card,Credit card fix loan,535xx,WI,8.51,0,9/1/98,0,25,,10,0,38176,71.8,34,f,1,0,H
1300,1300, 36 months,5.42%,39.21,A,A1,Jefferson Lewis BOCES,4 years,MORTGAGE,24000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=873529,,car,Car Loan,136xx,NY,6.7,0,3/1/04,0,,,15,0,2584,13.1,46,f,1,0,H
7500,7500, 36 months,8.90%,238.15,A,A5,HP/EDS,10+ years,MORTGAGE,83000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1020444,"  Borrower added on 11/10/11 > The funds will be used to fix our bathroom which is outdated since 1964. The tiles are falling off and part of the wall in the shower is collapsing. My plan was to use a 401K loan but I'm in the process of transitioning to a new company, still keeping my years of service and pay. It would take several months to transfer the 401K funds to the new plan and allow me to borrow from it. I would like to have it done by the holidays so I can stop making excuses when my family and friends come over. I have a contractor lined up but just need the funds to start. I never defaulted on a loan and pride myself on paying my bills on time.<br>",home_improvement,Bathroom Repair & Renovation,146xx,NY,21.41,0,2/1/87,0,41,,18,0,68197,60.4,44,f,1,0,H
3500,3500, 36 months,10.62%,113.96,B,B3,Tamko,10+ years,MORTGAGE,40000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=496808,  Borrower added on 03/20/10 > Personal improvements for my family<br/> Borrower added on 03/22/10 > I want this money to take my family on a trip. My job is 99% stable.<br/>,other,Improvements,647xx,MO,20.01,0,11/1/98,4,25,,5,0,0,0,16,f,1,0,H
15000,15000, 36 months,11.12%,491.94,B,B3,United States Air Force,6 years,RENT,60000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=574251,"  Borrower added on 09/03/10 > I plan to use the funds to pay off credit card debt and to help build up my credit.<br/>I am a great borrower because I don't miss payments and the monthly payment amount will help me free up money so I can become a future investor with the company.<br/>My current monthly budget for debt is $1000 and this payment decreases that by more than half.<br/>I have a very stable job because I am in the military and I am under contract until December 2014, which would mean my loan would be paid off before my service is up.  I am currently planning on completing a full 20 years so I will have great job security for a long time.<br/> Borrower added on 09/03/10 > Getting this loan will also help me save, and pay for my wedding coming up in May of next year.  It will free up some of the money I have allotted to pay for my current credit card debt because it will all be consolidated.  I appreciate every investors contribution, as it gives me the opportunity to move forward in my life and get out of debt.<br/>",debt_consolidation,Timmy Consolidation Loan,151xx,PA,10.52,0,7/1/00,0,75,,16,0,15794,66.1,30,f,1,0,H
8000,8000, 60 months,20.30%,213.29,E,E5,DOW Networks,1 year,RENT,42500,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1062851,"  Borrower added on 12/08/11 > Consolidating all my credit cards and paying my rent off for the rest of the contract. Then I'll double up on my payments on my loan with the money I save from the difference in rent payments and minimum payment amounts on my credit cards that I'll be paying off.<br> Borrower added on 12/11/11 > My lease is up on my apartment in July 2012, and my next step is buying a home. I'm saving my down payment now, and I just need to pay off my revolving debt. <br>",debt_consolidation,Consolidation Loan,300xx,GA,14.23,0,3/1/04,1,,,10,0,9870,95,24,f,1,1,H
11000,11000, 60 months,17.14%,274.21,E,E3,Tucker Griffin Barnes P.C.,7 years,RENT,30000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=709240,  Borrower added on 03/24/11 > Needing to consolidate three credit cards -- a Discover card; a card/loan with GE Money Bank; and a Bank of America Visa card.<br/> Borrower added on 03/25/11 > I have an excellent credit score. I've never had a missed or late payment. I've worked at my current law firm as a Paralegal for over 7 years.<br/>,debt_consolidation,Debt Consolidation 2011,229xx,VA,11.32,0,11/1/03,0,,,3,0,10253,89.2,9,f,1,0,H
8000,8000, 60 months,15.58%,192.77,D,D3,Wells Fargo Advisors,3 years,RENT,60000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=573794,  Borrower added on 10/19/10 > Plan on using for medical bills incurred due to surgery.<br/>,medical,Sundin,926xx,CA,12.92,0,3/1/92,0,,,6,0,17072,93.3,8,f,1,0,H
3400,3400, 36 months,6.39%,104.04,A,A1,Samson Products,10+ years,MORTGAGE,69996,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=594454,,home_improvement,heating repair,775xx,TX,0.6,0,8/1/93,1,,,9,0,3446,12.8,23,f,1,0,H
10000,6575, 36 months,6.91%,202.75,A,A5,The Shaw Group Inc,10+ years,MORTGAGE,150996,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=614319,,debt_consolidation,Debt Consolidation,708xx,LA,4.55,0,5/1/93,1,25,,6,0,22352,75.7,27,f,1,0,H
11800,11800, 60 months,15.95%,286.64,D,D4,Lakeside Medical Group,1 year,RENT,33600,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=530193,  Borrower added on 06/12/10 > I'm paying off all my credit cards with total monthly payments of $330. I consider myself a good borrow because I always pay on time. I've been a medical assistant for 5 years and currently working for lakeside medical group. I pretty much use a budget for everything on daily basis.<br/>,debt_consolidation,My Debt Free Loan,914xx,CA,13.96,0,12/1/03,0,,,11,0,11804,62.5,15,f,1,0,H
10000,10000, 60 months,18.39%,256.07,E,E2,CSC/NASA,2 years,RENT,60000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=834696,"  Borrower added on 08/01/11 > I am an owner builder, I own my land free and clear and currently do not have a mortgage or rent payment so 100% of funds are directed to the building and completion of the home. The 35 k I'm requesting will complete our home. I had a previous mortgage payment of $1300 dollars a month which I payed on for 6 years with 0 late payments or defaults.<br/>I'm a good borrower because even in hard times which everyone has had, my number one priority was the on time payment of all my loans, because I know like many what good credit means. I look forward to this loan.<br/>null",home_improvement,HOME IMPROV,799xx,TX,13.86,0,10/1/99,1,,,13,0,7704,25.9,39,f,1,0,H
6400,6400, 36 months,5.99%,194.68,A,A2,Barnes & Noble Booksellers Inc.,10+ years,RENT,36000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=703725,"  Borrower added on 05/11/11 > I plan to use this loan to pay off my Credit Card balances. As my credit history shows, I am a responsible borrower and make my payments on time. However, the balances aren't going down quickly enough due to high interest rates, and I have become stuck on the proverbial debt treadmill.<br/><br/>The monthly payment for a 3-year loan term fits easily into my budget. I will be able to cover all living expenses, contribute to my savings and retirement plan, and have enough cash left over each month for all other expenses and discretionary purchases.<br/><br/>I have worked for my current employer for almost 11 years. Since joining the company in July 2000 as a part-time employee, I have been promoted four times. I have held my current position for 4.5 years, and I remain focused on growing and advancing within the company<br/>",debt_consolidation,Consolidating & Simplifying,335xx,FL,24.47,0,12/1/00,0,,,12,0,7478,19,21,f,1,0,H
